model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,350, T,True,False,False,True,True,True,1.0,0.024223297834396362,0.1696261167526245,9.24439525604248,7.7556047439575195,1.0,False,False,0.924508273601532
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,467, W,True,False,False,True,True,True,1.0,0.01356063038110733,0.10547134280204773,7.937465667724609,9.06253433227539,1.0,False,False,0.9144337773323059
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,492,(',True,False,False,True,True,True,1.0,0.013573013246059418,0.11105078458786011,7.367588996887207,9.632411003112793,1.0,False,False,0.8729516267776489
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,607, str,True,False,False,True,True,True,1.0,0.024270765483379364,0.20865564048290253,5.2387895584106445,11.761210441589355,1.0,False,False,0.8053178787231445
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,660,'],True,False,False,True,True,True,1.0,0.016289904713630676,0.16814041137695312,3.649404525756836,13.350595474243164,1.0,False,False,0.9090980887413025
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,680,ition,True,False,False,True,True,True,1.0,0.037226445972919464,0.26885318756103516,6.773035049438477,10.226964950561523,1.0,False,False,0.9517383575439453
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,712,per,True,False,False,True,True,True,1.0,0.06069441884756088,0.43651527166366577,7.57797908782959,9.42202091217041,1.0,False,False,0.9015453457832336
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,718,add,True,False,False,True,True,True,1.0,0.03108476847410202,0.26144084334373474,5.638745307922363,11.361254692077637,1.0,False,False,0.7790361642837524
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,737, void,True,False,False,True,True,True,1.0,0.023224778473377228,0.18755245208740234,6.403419494628906,10.596580505371094,1.0,False,False,0.9173274040222168
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,818,Cont,True,False,False,True,True,True,1.0,0.019155293703079224,0.17958687245845795,3.8922929763793945,13.107707023620605,1.0,False,False,0.8174625635147095
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,825, one,True,False,False,True,True,True,1.0,0.022452019155025482,0.19260114431381226,6.083793640136719,10.916206359863281,1.0,False,False,0.862382709980011
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,979, when,True,False,False,True,True,True,1.0,0.02351158857345581,0.18766260147094727,7.785037040710449,9.21496295928955,1.0,False,False,0.8594464659690857
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1065,min,True,False,False,True,True,True,1.0,0.035397350788116455,0.26990365982055664,6.3666791915893555,10.633320808410645,1.0,False,False,0.7987143397331238
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1104,idth,True,False,False,True,True,True,1.0,0.06370111554861069,0.3852735161781311,8.316753387451172,8.683246612548828,1.0,False,False,1.0227657556533813
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1105, them,True,False,False,True,True,True,1.0,0.0239497572183609,0.21287353336811066,4.280124664306641,12.71987533569336,1.0,False,False,0.9088085293769836
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1183,"[""",True,False,False,True,True,True,1.0,0.025066643953323364,0.19932155311107635,7.099292755126953,9.900707244873047,1.0,False,False,0.9216483235359192
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1228,cript,True,False,False,True,True,True,1.0,0.05159924924373627,0.33987152576446533,7.606105804443359,9.39389419555664,1.0,False,False,1.0898792743682861
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1291,right,True,False,False,True,True,True,1.0,0.03049790859222412,0.27249613404273987,3.6349658966064453,13.365034103393555,1.0,False,False,0.7359724044799805
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1302,.g,True,False,False,True,True,True,1.0,0.048529259860515594,0.3688204288482666,7.354591369628906,9.645408630371094,1.0,False,False,0.9705681204795837
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1402,AM,True,False,False,True,True,True,1.0,0.03733033686876297,0.31065863370895386,5.180098533630371,11.819901466369629,1.0,False,False,0.9661501049995422
