context,target_id,target_text,theta_author,theta_cell
The quantum computer,717,ect,12.960954910791834,9.517852783203125
The quantum computer,4332,nov,15.114444802672441,10.769163131713867
The quantum computer,10740,dig,12.92678885174778,9.36835765838623
The quantum computer,19723, ಜ,17.35994160920671,12.811653137207031
The quantum computer,45945, उन्,14.835885413612823,10.806766510009766
The quantum computer,70722, був,16.774879432024772,12.058868408203125
The quantum computer,72704, Greeks,14.230669380597506,10.119290351867676
The quantum computer,80695, обсу,13.198794569696968,9.095393180847168
The quantum computer,103323,ële,16.317879091396456,11.632217407226562
The quantum computer,132022, Batteries,14.194233811314083,10.220484733581543
The quantum computer,142508, fattori,18.459434297989613,13.395106315612793
The quantum computer,145310, אשר,18.83673649928708,13.521549224853516
The quantum computer,146778,镜像,13.1240904474508,9.082616806030273
The quantum computer,159025,वनि,13.304869019490685,9.570394515991211
The quantum computer,165745,eneo,14.92587579361666,10.937005043029785
The quantum computer,170240, Grilled,20.041449531024522,11.222193717956543
The quantum computer,175866, Oka,15.320400393770143,10.031464576721191
The quantum computer,191233, Weibo,16.530789396412573,11.528733253479004
The quantum computer,213193, నిర్మాణ,17.108310261903526,11.933136940002441
The quantum computer,213871, accedere,16.145226716000774,11.829750061035156
The quantum computer,224763, réussir,15.476314298834126,11.043039321899414
The quantum computer,239273,甚,13.405268319857784,9.532979965209961
The quantum computer,245123,溼,16.6810990370183,11.866708755493164
The quantum computer,254474,鉋,14.326222656455554,10.248893737792969
For dinner I made,717,ect,10.584233751014935,8.181197166442871
For dinner I made,4332,nov,12.752158139732662,9.539822578430176
For dinner I made,10740,dig,11.178591450753482,8.509855270385742
For dinner I made,19723, ಜ,15.21585223229071,11.808708190917969
For dinner I made,45945, उन्,14.207132906387274,10.933062553405762
For dinner I made,70722, був,14.37412088891467,10.80197525024414
For dinner I made,72704, Greeks,13.960507726133844,10.623379707336426
For dinner I made,80695, обсу,10.014298419188773,7.279553413391113
For dinner I made,103323,ële,14.034135857204072,10.560507774353027
For dinner I made,132022, Batteries,11.99281328911753,9.155364036560059
For dinner I made,142508, fattori,15.056079779220335,11.367267608642578
For dinner I made,145310, אשר,16.42730301690889,12.2539644241333
For dinner I made,146778,镜像,12.289791502545489,9.100749969482422
For dinner I made,159025,वनि,11.475242165052558,8.656643867492676
For dinner I made,165745,eneo,13.343658619973866,10.317534446716309
For dinner I made,170240, Grilled,22.48007662397858,9.258456230163574
For dinner I made,175866, Oka,11.903314330334085,8.120498657226562
For dinner I made,191233, Weibo,15.206296004736119,11.131318092346191
For dinner I made,213193, నిర్మాణ,14.01021521955681,10.228105545043945
For dinner I made,213871, accedere,13.200795888898249,10.244342803955078
For dinner I made,224763, réussir,13.858385492487981,10.352426528930664
For dinner I made,239273,甚,11.972198848285123,9.029329299926758
For dinner I made,245123,溼,13.397330376839328,9.931195259094238
For dinner I made,254474,鉋,11.299381643309312,8.438057899475098
