model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
google/gemma-3-1b-it,To bake sourdough bread,0,322,T,3251,261228,260353,3370,4073,3111,
google/gemma-3-1b-it,To bake sourdough bread,0,605,us,1,2048,1898,1,5,1,12.138837814331055
google/gemma-3-1b-it,To bake sourdough bread,0,806,ous,1,63480,26044,1,10,1,13.996663093566895
google/gemma-3-1b-it,To bake sourdough bread,0,850, app,1,21987,20841,1,2,1,14.00966739654541
google/gemma-3-1b-it,To bake sourdough bread,0,1049,inal,1,77603,44328,1,11,1,14.947035789489746
google/gemma-3-1b-it,To bake sourdough bread,0,1143,cept,8,217985,207566,7,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,1176, said,1,530,924,1,1,1,9.726462364196777
google/gemma-3-1b-it,To bake sourdough bread,0,1240,riv,1,1445,6385,1,8,1,12.647037506103516
google/gemma-3-1b-it,To bake sourdough bread,0,1276, Re,1,119,88,1,2,1,8.896656036376953
google/gemma-3-1b-it,To bake sourdough bread,0,1382, aut,1,67283,98367,1,2,1,15.879281044006348
google/gemma-3-1b-it,To bake sourdough bread,0,1417,wn,1,14753,25805,1,11,1,16.193634033203125
google/gemma-3-1b-it,To bake sourdough bread,0,1428, equ,1,13239,14214,1,11,1,14.550393104553223
google/gemma-3-1b-it,To bake sourdough bread,0,1844,uf,1,42374,22898,1,11,1,13.715265274047852
google/gemma-3-1b-it,To bake sourdough bread,0,1911, var,1,6513,4912,1,2,1,12.815326690673828
google/gemma-3-1b-it,To bake sourdough bread,0,1916,rc,1,27562,25366,1,11,1,13.904434204101562
google/gemma-3-1b-it,To bake sourdough bread,0,2048, prote,1,73903,43584,1,11,1,15.982246398925781
google/gemma-3-1b-it,To bake sourdough bread,0,2124,++,2,94103,47218,1,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,2233, invest,1,41905,46616,1,4,1,14.388489723205566
google/gemma-3-1b-it,To bake sourdough bread,0,2247, put,1,103699,95246,1,2,1,14.856194496154785
google/gemma-3-1b-it,To bake sourdough bread,0,2423,ino,1,3448,5674,1,5,1,12.372593879699707
google/gemma-3-1b-it,To bake sourdough bread,0,2582,EXT,2,98392,84415,1,11,1,
google/gemma-3-1b-it,To bake sourdough bread,0,2669,ending,6,184165,205350,6,11,1,
