model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,350, T,1,69894,94638,1,2,1,11.08457088470459
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,467, W,1,149903,25785,1,2,1,8.271331787109375
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,492,(',1,132080,120008,1,4,1,11.504033088684082
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,607, str,1,97374,25599,1,2,1,11.015257835388184
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,660,'],1,138509,100163,1,2,1,13.137978553771973
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,680,ition,1,138295,96717,1,2,1,12.254363059997559
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,712,per,1,791,7572,1,1,1,5.540970325469971
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,718,add,1,36172,46481,1,2,1,8.4450101852417
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,737, void,1,126924,57740,1,2,1,10.672887802124023
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,818,Cont,1,18232,49448,1,2,1,10.651276588439941
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,825, one,1,36502,43249,1,2,1,10.608609199523926
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,979, when,1,103537,44960,1,2,1,8.69297981262207
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1065,min,1,93436,53397,1,2,1,8.149344444274902
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1104,idth,1,109633,96254,1,2,1,10.733642578125
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1105, them,1,131546,80388,1,2,1,11.519858360290527
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1183,"[""",1,21367,53918,1,2,1,9.528270721435547
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1228,cript,1,40304,31233,1,2,1,7.834957599639893
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1291,right,1,92980,66336,1,1,1,10.051968574523926
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1302,.g,1,69653,109956,1,2,1,10.6143798828125
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1402,AM,1,34144,1721,1,2,1,5.624640464782715
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1489,fl,1,20184,10423,1,1,1,5.862173557281494
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1546,sole,1,24316,26859,1,2,1,8.656007766723633
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1619, att,1,122238,66702,1,2,1,9.835847854614258
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1822, av,1,74827,64656,1,1,1,9.71435260772705
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1854,uss,1,84590,116820,1,2,1,11.412972450256348
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,1890,AG,1,5731,11351,1,2,1,10.59281063079834
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2095,utes,1,126108,128110,1,2,1,13.169438362121582
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2100, AN,1,38344,51289,1,2,1,10.615718841552734
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2197, document,1,119615,29062,1,2,1,10.099944114685059
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2216,ric,1,56334,89700,1,2,1,8.79035758972168
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2375,erg,1,88124,70406,1,2,1,9.33997631072998
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2512,Action,1,100745,105491,1,2,1,11.621068000793457
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2673,ically,1,129778,120383,1,2,1,11.571843147277832
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2682,vis,1,59002,69331,1,2,1,9.531378746032715
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2700,ponents,1,26863,55415,1,2,1,10.148397445678711
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2752,pen,1,73735,98368,1,1,1,9.502090454101562
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2884, design,1,78094,82759,1,2,1,11.61317253112793
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,2931,quired,1,29162,50375,1,2,1,9.599318504333496
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3114,cribe,1,34107,48450,1,2,1,9.959105491638184
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3182,create,1,12650,54170,1,2,1,11.446885108947754
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3246,agn,1,39801,24392,1,2,1,8.62704849243164
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3314,cul,1,5072,2814,1,1,1,5.342819690704346
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3323,Token,1,34601,7885,1,2,1,9.53465747833252
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3409, word,1,18418,16444,1,2,1,8.74839973449707
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3425, whether,1,114820,89495,1,2,1,12.249889373779297
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3509,node,1,20647,25576,1,2,1,9.55908203125
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3613, members,1,48469,91810,1,4,1,12.823092460632324
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3738, human,1,14011,3157,1,2,1,5.458858013153076
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3751,fect,1,74743,43749,1,2,1,10.752446174621582
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,3774, unsigned,1,59870,29623,1,2,1,10.835213661193848
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4372,avigation,1,112274,145062,1,3,1,15.151606559753418
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4428, similar,1,6305,50871,1,2,1,9.885435104370117
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4477,ARE,1,77352,91571,1,2,1,12.257423400878906
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4520, Sec,1,25208,21332,1,1,1,9.68614387512207
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4564, connect,1,20105,15924,1,2,1,8.63188362121582
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4578,tag,1,41024,18999,1,1,1,8.915555000305176
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4624,Repository,1,69693,69210,1,3,1,14.03598403930664
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4738,ief,1,8891,8129,1,2,1,7.1667399406433105
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4796, campaign,1,106465,99162,1,2,1,11.281484603881836
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,4880, shall,1,129739,49818,1,2,1,11.116583824157715
Qwen/Qwen2-0.5B-Instruct,The theory of relativity,0,5206, mut,1,57686,32960,1,2,1,8.32294750213623
