model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,350, T,1,19471,23225,1,2,1,6.962913513183594
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,467, W,1,141074,30151,1,2,1,7.587295055389404
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,492,(',1,47852,22255,1,2,1,8.926353454589844
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,607, str,1,60722,50517,1,2,1,8.933887481689453
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,660,'],1,101109,70968,1,2,1,10.669410705566406
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,680,ition,1,103857,78010,1,1,1,8.943989753723145
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,712,per,1,345,355,1,1,1,5.9392523765563965
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,718,add,1,32378,12027,1,2,1,8.78705883026123
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,737, void,1,124110,76870,1,2,1,10.451610565185547
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,818,Cont,1,59571,114697,1,2,1,10.489380836486816
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,825, one,1,36075,73121,1,2,1,9.756010055541992
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,979, when,1,17399,14497,1,1,1,6.706747055053711
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1065,min,1,51199,33254,1,2,1,7.561026096343994
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1104,idth,1,1989,2415,1,1,1,5.786816120147705
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1105, them,1,20202,8358,1,2,1,8.046345710754395
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1183,"[""",1,20261,36200,1,2,1,8.893562316894531
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1228,cript,1,13284,5840,1,2,1,7.406404495239258
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1291,right,1,71700,46732,1,2,1,9.216178894042969
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1302,.g,1,92354,97659,1,2,1,11.158193588256836
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1402,AM,1,19535,312,1,1,1,5.191182613372803
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1489,fl,1,46068,18213,1,1,1,7.561490535736084
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1546,sole,1,22483,33492,1,2,1,9.237099647521973
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1619, att,1,139598,120516,1,2,1,10.733983993530273
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1822, av,1,31414,34194,1,1,1,8.551717758178711
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1854,uss,1,120982,108656,1,2,1,10.611333847045898
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,1890,AG,1,520,1997,1,1,1,6.454399108886719
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2095,utes,1,33334,38678,1,2,1,8.576156616210938
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2100, AN,1,2973,2480,1,2,1,7.407872676849365
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2197, document,1,83003,74144,1,2,1,10.356765747070312
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2216,ric,1,20560,16576,1,2,1,7.858842849731445
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2375,erg,1,70944,48084,1,2,1,8.491796493530273
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2512,Action,1,81133,103009,1,2,1,10.6692476272583
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2673,ically,1,19795,18177,1,1,1,7.398173809051514
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2682,vis,1,91259,85732,1,2,1,9.678712844848633
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2700,ponents,1,9187,17146,1,2,1,9.163675308227539
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2752,pen,1,36067,29043,1,1,1,7.8625311851501465
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2884, design,1,75621,75824,1,2,1,11.705004692077637
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,2931,quired,1,2837,9712,1,2,1,6.4918012619018555
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3114,cribe,1,72514,98422,1,2,1,10.262351989746094
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3182,create,1,63868,120964,1,2,1,13.10436725616455
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3246,agn,1,317,295,1,1,1,5.628834247589111
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3314,cul,1,709,852,1,1,1,4.918617248535156
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3323,Token,1,57037,64900,1,2,1,10.584675788879395
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3409, word,1,8992,14320,1,2,1,8.409547805786133
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3425, whether,1,46713,42431,1,1,1,8.466592788696289
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3509,node,1,130690,121422,1,2,1,12.529244422912598
Qwen/Qwen2-1.5B-Instruct,The theory of relativity,0,3613, members,1,13364,32264,1,2,1,10.424309730529785
