context,target_id,target_text,theta_author,theta_cell
The quantum computer,416,res,6.946450092960638,7.524041051716375
The quantum computer,2511,uilder,9.702337281972811,9.70542563094008
The quantum computer,6225,.pre,11.281160281107923,9.067038247415917
The quantum computer,11431,iones,9.654914058591569,10.074157023699433
The quantum computer,26629, cliente,13.526816836442375,10.699182290386702
The quantum computer,40990, Bachelor,26.52825908010666,9.389752112644862
The quantum computer,42139,.toJson,11.004301442540571,9.850586264157126
The quantum computer,46770,DateString,8.629810673711807,7.803529913381438
The quantum computer,59885,haled,9.96911109912537,9.727300037926518
The quantum computer,76519,/stretchr,10.888921556799053,10.490035491492474
The quantum computer,82596,(The,5.731748525600837,5.871585642909905
The quantum computer,84220, oferta,11.84068308237646,9.74133858586027
The quantum computer,85071,ngoing,9.1325569174578,8.797527673131109
The quantum computer,92169,“These,9.701025603068029,8.07291471947066
The quantum computer,96064, BroadcastReceiver,13.199934883624831,11.388128929051751
The quantum computer,98669,CLUSION,11.991783442890338,10.227287719916818
The quantum computer,101930,长期,8.606722057882521,8.375224033559714
The quantum computer,110836,城里,10.07107180218647,9.64061675466097
The quantum computer,123565,鲰,11.570314059556676,10.171382492354773
The quantum computer,123957,�,,9.22125498786679
The quantum computer,130270, 건,13.214782732079538,9.387385318790495
The quantum computer,138680, insanların,11.811970728531907,7.856176784363036
The quantum computer,142071,звуч,8.998864618960061,8.574529602544098
The quantum computer,147490,🏬,,12.608570307295675
For dinner I made,416,res,7.854772845007716,8.080106601876283
For dinner I made,2511,uilder,8.939999424484448,9.819729509936836
For dinner I made,6225,.pre,10.129710366826302,9.326553770179103
For dinner I made,11431,iones,8.018676003062026,9.338473959642357
For dinner I made,26629, cliente,10.142905962973135,8.828324535570726
For dinner I made,40990, Bachelor,27.9037862199564,9.80009334875908
For dinner I made,42139,.toJson,7.791758602451053,8.081519173905814
For dinner I made,46770,DateString,8.25703766180615,8.222880280371532
For dinner I made,59885,haled,9.456852950915476,10.30784698289576
For dinner I made,76519,/stretchr,11.443268560490893,11.87117965117422
For dinner I made,82596,(The,6.944926385724683,6.876292059907034
For dinner I made,84220, oferta,11.147595139873658,9.7011501513676
For dinner I made,85071,ngoing,9.114550744035103,9.699126181178295
For dinner I made,92169,“These,9.705252423784522,8.652076472843074
For dinner I made,96064, BroadcastReceiver,12.345369375886442,11.905491788745637
For dinner I made,98669,CLUSION,14.450233829466546,12.37981134493949
For dinner I made,101930,长期,7.756203333488512,8.09434862405288
For dinner I made,110836,城里,9.93426877770895,10.10386971867114
For dinner I made,123565,鲰,10.06248413242715,10.048886063265785
For dinner I made,123957,�,,10.304019453417665
For dinner I made,130270, 건,11.443695945072937,8.894686934651915
For dinner I made,138680, insanların,12.195622686277796,9.392075072312311
For dinner I made,142071,звуч,9.027064721969493,9.427193037845504
For dinner I made,147490,🏬,,14.973324410995218
