spherical_geodesic,ellipsoid_mahalanobis,euclidean
1.1723735332489014,3.7432418137831367,14.64394474029541
1.3832279443740845,6.05326893506459,17.4111270904541
1.3000304698944092,7.222409836555506,17.86664581298828
1.271443486213684,6.1034724787300085,17.816936492919922
1.2836616039276123,7.489258148162426,18.466205596923828
1.2787739038467407,7.366113447805292,18.40210723876953
1.3974153995513916,8.29534812748496,18.489900588989258
1.2638678550720215,5.473947828030916,15.9134521484375
1.2466431856155396,4.909745772158226,15.270530700683594
1.2440767288208008,4.814360941171423,14.97367000579834
1.2946101427078247,5.457916081916012,15.489496231079102
1.3109468221664429,5.250607039936075,15.396014213562012
1.1881612539291382,3.809856304364778,14.00534725189209
1.3142180442810059,7.052418312023746,17.85022735595703
1.3579529523849487,7.521244671967773,19.23924446105957
1.1535139083862305,4.831898824935879,15.1936616897583
1.1620895862579346,5.4875663204507426,15.262750625610352
1.328284740447998,6.345348336499035,17.30002212524414
1.2652626037597656,5.61890978798495,15.965015411376953
1.0409349203109741,4.47730613437924,14.24440860748291
1.2837275266647339,6.238602908060392,16.799787521362305
1.4414364099502563,6.92227675808851,17.559497833251953
1.304858684539795,6.247299590922235,16.327781677246094
1.3171470165252686,5.67772946177655,16.446388244628906
1.2796450853347778,4.264473932094094,15.716955184936523
1.2417184114456177,4.791015703982616,15.174962997436523
1.3607358932495117,6.1308882795288255,16.51544952392578
1.222993016242981,4.962011715856169,15.696428298950195
1.2728900909423828,5.52732833840549,15.96833610534668
1.2893424034118652,6.189280050804724,16.476457595825195
1.3741860389709473,7.791195857082226,19.002647399902344
1.1687324047088623,5.384325269518984,15.408371925354004
1.3275359869003296,5.056013378490908,16.349985122680664
1.3193280696868896,5.20269890085167,16.890541076660156
1.306268334388733,5.646180459170958,16.652128219604492
1.2738580703735352,5.0793536580157514,16.206008911132812
1.1842437982559204,4.474751439227348,14.919039726257324
1.0966291427612305,3.542386999481674,14.889371871948242
1.132645606994629,4.795637772361071,15.455344200134277
1.2921404838562012,4.649016345008877,16.03128433227539
1.207810878753662,5.461695413878278,16.186681747436523
1.2761272192001343,6.730001001192812,17.17521858215332
1.2133256196975708,5.242108156760885,15.354657173156738
1.2841521501541138,5.642640338973091,16.832517623901367
1.0576292276382446,4.988195468549816,14.61254596710205
0.9009862542152405,2.8480668178066164,12.966219902038574
1.0580319166183472,3.9974741178489555,14.521048545837402
1.235642910003662,5.565184077511635,15.954404830932617
1.2661396265029907,5.768589801517615,15.969293594360352
1.2164336442947388,5.335732936587426,15.529726028442383
1.0666604042053223,4.356120204579622,13.973969459533691
