word,ctx,layer,dir,budget,rank1,entry_deg,margin
apple,The capital of France is,0,row,17,True,11.858314889787678,0.19076849520206451
apple,The capital of France is,0,row,45,True,11.858314889787678,0.48787012696266174
apple,The capital of France is,0,centroid,17,True,,0.14931505918502808
apple,The capital of France is,0,centroid,45,True,,0.4295881986618042
apple,The capital of France is,8,row,17,True,9.40566909091697,0.22485966980457306
apple,The capital of France is,8,row,45,True,9.40566909091697,0.515989363193512
apple,The capital of France is,8,centroid,17,True,,0.139456108212471
apple,The capital of France is,8,centroid,45,True,,0.41718190908432007
apple,The capital of France is,15,row,17,True,9.998071888199686,0.21526576578617096
apple,The capital of France is,15,row,45,True,9.998071888199686,0.5136293172836304
apple,The capital of France is,15,centroid,17,True,,0.15340033918619156
apple,The capital of France is,15,centroid,45,True,,0.42121756076812744
apple,The capital of France is,23,row,17,True,14.171843395643567,0.18192892521619797
apple,The capital of France is,23,row,45,True,14.171843395643567,0.48121151328086853
apple,The capital of France is,23,centroid,17,True,,0.13429507613182068
apple,The capital of France is,23,centroid,45,True,,0.39066049456596375
apple,Once upon a time,0,row,17,True,11.947332745240454,0.1904582679271698
apple,Once upon a time,0,row,45,True,11.947332745240454,0.48763906955718994
apple,Once upon a time,0,centroid,17,True,,0.1492914780974388
apple,Once upon a time,0,centroid,45,True,,0.4294865131378174
apple,Once upon a time,8,row,17,True,9.845260065898989,0.22874370217323303
apple,Once upon a time,8,row,45,True,9.845260065898989,0.5158357471227646
apple,Once upon a time,8,centroid,17,True,,0.13943642377853394
apple,Once upon a time,8,centroid,45,True,,0.41507086157798767
apple,Once upon a time,15,row,17,True,9.328440141971635,0.19705362617969513
apple,Once upon a time,15,row,45,True,9.328440141971635,0.4925435483455658
apple,Once upon a time,15,centroid,17,True,,0.14796186983585358
apple,Once upon a time,15,centroid,45,True,,0.41275548934936523
apple,Once upon a time,23,row,17,True,18.045161711687758,0.14917348325252533
apple,Once upon a time,23,row,45,True,18.045161711687758,0.4562321752309799
apple,Once upon a time,23,centroid,17,True,,0.14343155175447464
apple,Once upon a time,23,centroid,45,True,,0.3976971507072449
Paris,The capital of France is,0,row,17,True,13.255218348649516,0.19382233172655106
Paris,The capital of France is,0,row,45,True,13.255218348649516,0.4815383702516556
Paris,The capital of France is,0,centroid,17,True,,0.12480868399143219
Paris,The capital of France is,0,centroid,45,True,,0.46564434468746185
Paris,The capital of France is,8,row,17,True,13.08036550589719,0.19516225904226303
Paris,The capital of France is,8,row,45,True,13.08036550589719,0.493598073720932
